Reference,DOI,Location,Species,Level,Turnover,Source,Notes
Levitt et al. 2002,10.2989/025776102784528501,"Bordjiesrif, Cape Peninsula and Romans Bay, Danger Point Peninsula, South Africa",Ecklonia maxima,Thallus,4.564516129,Text,calculated as 5.66 kg plant^−1 y^−1 (P) / 1.24 kg plant^−1 (B)
Levitt et al. 2002,10.2989/025776102784528501,"Bordjiesrif, Cape Peninsula and Kruismans Bay, Danger Point Peninsula, South Africa",Ecklonia maxima,Thallus,3.059459459,"Text, Figure 3b",calculated as 5.66 kg plant^−1 y^−1 (P) / ( (0.63 * 3 + 3.68 * 2) / (3 + 2) ) kg plant^−1 (B)
Fairhead & Cheshire 2004,10.1007/s00227-004-1308-8,"Abalone Cove, West Island, South Australia, Australia",Ecklonia radiata,Thallus,3.507365608,Table 4,"calculated as daily elongation * mass-length ratio / thallus mass, averaged across seasons * 365 d y^−1"
Fairhead & Cheshire 2004,10.1007/s00227-004-1308-8,"Abalone Cove, West Island, South Australia, Australia",Ecklonia radiata,Thallus,1.984464841,Table 4,"calculated as daily elongation * mass-length ratio / thallus mass, averaged across seasons * 365 d y^−1"
Fairhead & Cheshire 2004,10.1007/s00227-004-1308-8,"Abalone Cove, West Island, South Australia, Australia",Ecklonia radiata,Thallus,4.234331347,Table 4,"calculated as daily elongation * mass-length ratio / thallus mass, averaged across seasons * 365 d y^−1, 5 and 12 m sites were combined to get a complete set of seasons"
Tominga et al. 2004,sourui.org/publications/sorui/list/52_01.html,"Tei, Tosa Bay, Kochi, Japan",Ecklonia cava,Forest,1.872987497,"Figure 5, Text",calculated as 2727.48 g dry mass m^−2 y^−1 (P) / annual mean g dry mass m^−2 (B)
Vadas et al. 2004,10.1656/1092-6194(2004)11[143:GAPOSF]2.0.CO;2,"Bar Island, Cobscook Bay, Maine, USA",Saccharina latissima,Forest,2.93,Table 3,
Vadas et al. 2004,10.1656/1092-6194(2004)11[143:GAPOSF]2.0.CO;2,"Mahar Point, Cobscook Bay, Maine, USA",Saccharina latissima,Forest,4.17,Table 3,
Vadas et al. 2004,10.1656/1092-6194(2004)11[143:GAPOSF]2.0.CO;2,"Garnet Point, Cobscook Bay, Maine, USA",Saccharina latissima,Forest,3.2,Table 3,
Tala & Edding 2005,10.1016/j.aquabot.2005.02.009,"Tinajas Point, Pampilla Peninsula, Coquimbo, Chile",Lessonia nigrescens,Lamina,4.10067607,"Figure 3, 6",calculated as annual mean daily production * 365 d y^−1 / annual mean biomass
Tala & Edding 2005,10.1016/j.aquabot.2005.02.009,"Tongoy Peninsula, Chile",Lessonia trabeculata,Lamina,2.712803688,"Figure 3, 6",calculated as annual mean daily production * 365 d y^−1 / annual mean biomass
Tala & Edding 2007,10.1111/j.1440-1835.2006.00447.x,"Tinajas Point, Pampilla Peninsula, Coquimbo, Chile",Lessonia nigrescens,Forest,5.378298701,"Table 2, 3","annual production and annual mean biomass calculated as mean of spring and autumn, so assumes these to be annual maximum and minimum"
Tala & Edding 2007,10.1111/j.1440-1835.2006.00447.x,"Tongoy Peninsula, Chile",Lessonia trabeculata,Forest,0.963557599,"Table 2, 3","annual production and annual mean biomass calculated as mean of spring and autumn, so assumes these to be annual maximum and minimum"
Quartino & Boraso de Zaixso 2008,10.1007/s00300-007-0356-1,"Potter Cove, Maxwell Bay, King George Island, South Shetland Islands, Antarctica",Himantothallus grandifolius,Forest,1.41,Table 4,"calculated as sum of monthly P/B, assuming there is no production in May to November"
Quartino & Boraso de Zaixso 2008,10.1007/s00300-007-0356-1,"Potter Cove, Maxwell Bay, King George Island, South Shetland Islands, Antarctica",Himantothallus grandifolius,Forest,3.4,Table 4,"calculated as sum of monthly P/B, assuming there is no production in May to November"
Reed et al. 2008,10.1890/07-1106.1,"Arroyo Burro, Santa Barbara, California, USA",Macrocystis pyrifera,Forest,7.3,Text,
Reed et al. 2008,10.1890/07-1106.1,"Arroyo Quemado, Santa Barbara, California, USA",Macrocystis pyrifera,Forest,5.9,Text,
Reed et al. 2008,10.1890/07-1106.1,"Mohawk Reef, Santa Barbara, California, USA",Macrocystis pyrifera,Forest,7.2,Text,
Kamohara et al. 2009,10.2331/suisan.75.1027,"Utsumi, Ise Bay, Aichi, Japan",Eisenia arborea,Forest,3.683098592,Table 4,calculated as 5.23 kg dry mass m^−2 y^−1 (P) / 1.42 kg dry mass m^−2 (B)
Ortiz 2010,10.1002/aqc.1126,"Santa Maria Island, Mejillones Peninsula, Chile",Macrocystis pyrifera,Lamina,10.3,Table 1,
Ortiz 2010,10.1002/aqc.1126,"Santa Maria Island, Mejillones Peninsula, Chile",Lessonia trabeculata,Lamina,3.4,Table 1,
Krumhansl & Scheibling 2011,10.3354/meps08905,"Duncan's Cove Exposed, Nova Scotia, Canada",Laminaria digitata,Forest,2.568045387,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Krumhansl & Scheibling 2011,10.3354/meps08905,"Duncan's Cover Protected, Nova Scotia, Canada",Laminaria digitata,Forest,2.785694956,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Krumhansl & Scheibling 2011,10.3354/meps08905,"Splitnose Point, Nova Scotia, Canada",Laminaria digitata,Forest,1.412939538,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Krumhansl & Scheibling 2011,10.3354/meps08905,"The Lodge, St Margaret's Bay, Nova Scotia, Canada",Laminaria digitata,Forest,1.615535563,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Krumhansl & Scheibling 2011,10.3354/meps08905,"Cranberry Cove, Nova Scotia, Canada",Saccharina latissima,Forest,4.158802218,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Krumhansl & Scheibling 2011,10.3354/meps08905,"Duncan's Cove Exposed, Nova Scotia, Canada",Saccharina latissima,Forest,1.847691823,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Krumhansl & Scheibling 2011,10.3354/meps08905,"Duncan's Cover Protected, Nova Scotia, Canada",Saccharina latissima,Forest,3.318372387,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Krumhansl & Scheibling 2011,10.3354/meps08905,"Splitnose Point, Nova Scotia, Canada",Saccharina latissima,Forest,1.576548154,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Krumhansl & Scheibling 2011,10.3354/meps08905,"The Lodge, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Forest,3.782910782,"Figure 5a, 6a, Table 5, Text",calculated as annual mean g dry mass plant^^−1 * 365 d y^−1 / 1000 g kg^−1 * plants m^−2 (P) / ( annual mean kg fresh mass m^−2 * kg dry mass kg^−1 fresh mass ) (B)
Miller et al. 2011,10.4319/lo.2011.56.1.0119,"Mohawk Reef, Santa Barbara, California, USA",Pterygophora californica,Forest,3.924731183,"Text, Table 2",calculated as 365 d y^−1 / 93 d turnover time
Pedersen et al. 2012,10.3354/meps09594,"Finnøya and Sandøya, Møre og Romsdal, Norway",Laminaria hyperborea,Thallus,0.677760098,"Figure 7d, 8d",calculated as P / mean B across sites within exposure level
Pedersen et al. 2012,10.3354/meps09594,"Finnøya and Sandøya, Møre og Romsdal, Norway",Laminaria hyperborea,Thallus,0.717261722,"Figure 7d, 8d",calculated as P / mean B across sites within exposure level
Pedersen et al. 2012,10.3354/meps09594,"Finnøya and Sandøya, Møre og Romsdal, Norway",Laminaria hyperborea,Thallus,0.682173913,"Figure 7d, 8d",calculated as P / mean B across sites within exposure level
Bearham et al. 2013,10.3354/meps10148,"Marmion Reef, Perth, Western Australia, Australia",Ecklonia radiata,Thallus,2.055964149,Figure 2,calculated as annual mean mg g^−1 d^−1 / 1000 mg g^−1 * 365 d y^−1
de Bettignies et al. 2013,10.4319/lo.2013.58.5.1680,"Marmion Reef, Perth, Western Australia, Australia",Ecklonia radiata,Thallus,1.571155025,Text,calculated as (3.84 + 1.75 + 1.95 + 0.89) / 4 g fresh mass plant^−1 d^−1 * 365 d y^−1 (P) / ( (355 + 285 + 606 + 554 + 648) / 5 ) g fresh mass plant^−1 (B)
Nielsen et al. 2014,10.1007/s00227-014-2482-y,"Aarhus Bay, Denmark",Saccharina latissima,Lamina,1.1,Text,
Yatsuya et al. 2014,10.20804/jsap.7.2_67,"Gounoura, Iki Island, Kyushu, Japan",Ecklonia cava subsp. Kurome,Forest,2.622698879,"Table 2, Figure 7",calculated as mean annual P / annual mean B
Rassweiler et al. 2018,10.1002/ecy.2440,"Arroyo Burro, Santa Barbara, California, USA",Macrocystis pyrifera,Forest,11.84123472,Data,
Rassweiler et al. 2018,10.1002/ecy.2440,"Arroyo Quemado, Santa Barbara, California, USA",Macrocystis pyrifera,Forest,15.18130615,Data,
Rassweiler et al. 2018,10.1002/ecy.2440,"Mohawk Reef, Santa Barbara, California, USA",Macrocystis pyrifera,Forest,12.91578996,Data,
Pessarrodona et al. 2019,10.1111/1365-2745.13053,"Plymouth Sound, Devon, United Kingdom",Laminaria hyperborea,Thallus,0.730966704,"Text, Figure S1, S2",calculated as annual mean dry mass production per plant across sites / ( annual mean fresh mass per plant * annual mean dry-fresh mass ratio )
Pessarrodona et al. 2019,10.1111/1365-2745.13053,"Plymouth Sound, Devon, United Kingdom",Laminaria ochroleuca,Thallus,2.13375836,"Text, Figure S1, S2",calculated as annual mean dry mass production per plant across sites / ( annual mean fresh mass per plant * annual mean dry-fresh mass ratio )
King et al. 2020,10.1007/s00227-020-03743-5,"Bay of Skail, Orkney, Scotland, United Kingdom",Laminaria digitata,Forest,1.960689474,"Figure 4c, 5a",calculated as annual production (P) / mean of peak and reduced standing stock (B)
King et al. 2020,10.1007/s00227-020-03743-5,"Warbeth, Orkney, Scotland, United Kingdom",Laminaria digitata,Forest,1.640558107,"Figure 4c, 5a",calculated as annual production (P) / mean of peak and reduced standing stock (B)
King et al. 2020,10.1007/s00227-020-03743-5,"Easdale, State Islands, Argyll and Bute, Scotland, United Kingdom",Laminaria digitata,Forest,1.592971127,"Figure 4c, 5a",calculated as annual production (P) / mean of peak and reduced standing stock (B)
King et al. 2020,10.1007/s00227-020-03743-5,"Abereiddy, Pembrokeshire, Wales, United Kingdom",Laminaria digitata,Forest,2.17110445,"Figure 4c, 5a",calculated as annual production (P) / mean of peak and reduced standing stock (B)
King et al. 2020,10.1007/s00227-020-03743-5,"Trevone, Cornwall, England, United Kingdom",Laminaria digitata,Forest,1.867854071,"Figure 4c, 5a",calculated as annual production (P) / mean of peak and reduced standing stock (B)
King et al. 2020,10.1007/s00227-020-03743-5,"St Ives, Cornwall, England, United Kingdom",Laminaria digitata,Forest,2.40399025,"Figure 4c, 5a",calculated as annual production (P) / mean of peak and reduced standing stock (B)
Pedersen et al. 2020,10.1007/s00442-019-04573-z,"Senja, Hekkinga, Edøya and Hillesøya, Malangen, Troms, Norway",Laminaria hyperborea,Forest,0.648571429,Text,calculated as 499.4 g C m^−2 y^−1 (P) / 770 g C m^−2 (B)
Smale et al. 2020,10.1038/s41598-020-69238-x,"Stromness, Orkney, Scotland, United Kingdom",Laminaria hyperborea,Forest,0.508423786,Figure 2,calculated as mean of lamina extension and regrowth (P) / standing stock (B)
Smale et al. 2020,10.1038/s41598-020-69238-x,"Stromness, Orkney, Scotland, United Kingdom",Laminaria hyperborea,Forest,0.380883947,Figure 2,calculated as mean of lamina extension and regrowth (P) / standing stock (B)
Smale et al. 2020,10.1038/s41598-020-69238-x,"Oban, Argyll and Bute, Scotland, United Kingdom",Laminaria hyperborea,Forest,0.385258975,Figure 2,calculated as mean of lamina extension and regrowth (P) / standing stock (B)
Smale et al. 2020,10.1038/s41598-020-69238-x,"Oban, Argyll and Bute, Scotland, United Kingdom",Laminaria hyperborea,Forest,0.456931143,Figure 2,calculated as mean of lamina extension and regrowth (P) / standing stock (B)
Smale et al. 2020,10.1038/s41598-020-69238-x,"Broad Haven, Pembrokeshire, Wales, United Kingdom",Laminaria hyperborea,Forest,0.741811656,Figure 2,calculated as mean of lamina extension and regrowth (P) / standing stock (B)
Smale et al. 2020,10.1038/s41598-020-69238-x,"Broad Haven, Pembrokeshire, Wales, United Kingdom",Laminaria hyperborea,Forest,0.846550925,Figure 2,calculated as mean of lamina extension and regrowth (P) / standing stock (B)
Smale et al. 2020,10.1038/s41598-020-69238-x,"Noss Mayo, Devon, England, United Kingdom",Laminaria hyperborea,Forest,0.607873308,Figure 2,calculated as mean of lamina extension and regrowth (P) / standing stock (B)
Smale et al. 2020,10.1038/s41598-020-69238-x,"Noss Mayo, Devon, England, United Kingdom",Laminaria hyperborea,Forest,0.667005468,Figure 2,calculated as mean of lamina extension and regrowth (P) / standing stock (B)
Blain et al. 2021,10.1111/gcb.15837,"Motutapu Island, Hauraki Gulf, New Zealand",Ecklonia radiata,Forest,2.116131191,Figure 4c,
Blain et al. 2021,10.1111/gcb.15837,"Noises Islands, Hauraki Gulf, New Zealand",Ecklonia radiata,Forest,2.966532798,Figure 4c,
Blain et al. 2021,10.1111/gcb.15837,"Motuora Island, Hauraki Gulf, New Zealand",Ecklonia radiata,Forest,2.739290495,Figure 4c,
Blain et al. 2021,10.1111/gcb.15837,"Tiritiri Matangi Island, Hauraki Gulf, New Zealand",Ecklonia radiata,Forest,2.769745649,Figure 4c,
Blain et al. 2021,10.1111/gcb.15837,"Leigh, Hauraki Gulf, New Zealand",Ecklonia radiata,Forest,3.107095047,Figure 4c,
Blain et al. 2021,10.1111/gcb.15837,"Katherine Bay, Great Barrier Island, Hauraki Gulf, New Zealand",Ecklonia radiata,Forest,4.041834003,Figure 4c,
Blain et al. 2021,10.1111/gcb.15837,"Southwest Bay, Mokohinau Islands, Hauraki Gulf, New Zealand",Ecklonia radiata,Forest,4.714190094,Figure 4c,
Weigel & Pfister 2021,10.1002/ecy.3221,"Tatoosh Island, Washington, USA ",Nereocystis luetkeana,Lamina,14.58661716,Data,calculated as daytime mg C g^−1 dry mass h^−1 * 12 daylight h d^−1 * 365 d y^−1 / 1000 mg g^−1 / g C g^−1 dry mass averaged per month and then across months (when nighttime data were available day and night were summed)
Bell & Kroeker 2022,10.1111/jpy.13291,"Harris Island, Sitka Sound, Alaska, USA",Macrocystis pyrifera,Thallus,1.818558824,"Figure 1b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Bell & Kroeker 2022,10.1111/jpy.13291,"Breast Island, Sitka Sound, Alaska, USA",Macrocystis pyrifera,Thallus,1.926388889,"Figure 1b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Bell & Kroeker 2022,10.1111/jpy.13291,"Samsing Pinnacle, Sitka Sound, Alaska, USA",Macrocystis pyrifera,Thallus,2.1854375,"Figure 1b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Bell & Kroeker 2022,10.1111/jpy.13291,"Harris Island, Sitka Sound, Alaska, USA",Hedophyllum nigripes,Lamina,3.264142857,"Figure 2b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Bell & Kroeker 2022,10.1111/jpy.13291,"Breast Island, Sitka Sound, Alaska, USA",Hedophyllum nigripes,Lamina,2.2995,"Figure 2b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Bell & Kroeker 2022,10.1111/jpy.13291,"Samsing Pinnacle, Sitka Sound, Alaska, USA",Hedophyllum nigripes,Lamina,2.3588125,"Figure 2b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Bell & Kroeker 2022,10.1111/jpy.13291,"Harris Island, Sitka Sound, Alaska, USA",Neoagarum fimbriatum,Lamina,3.373642857,"Figure 3b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Bell & Kroeker 2022,10.1111/jpy.13291,"Breast Island, Sitka Sound, Alaska, USA",Neoagarum fimbriatum,Lamina,2.847,"Figure 3b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Bell & Kroeker 2022,10.1111/jpy.13291,"Samsing Pinnacle, Sitka Sound, Alaska, USA",Neoagarum fimbriatum,Lamina,2.414214286,"Figure 3b, Data","calculated as mean relative growth rate (d^−1) * 365 d y^−1, size and mass are linearly related, so size- and mass-specific growth rates are equivalent here"
Gilson et al. 2023,10.1002/ece3.10146,"Ballywhoriskey Point and Rinmore Point, County Donegal, Ireland",Laminaria digitata,Forest,2.165665642,"Figure 2e, 3c, e","calculated as mean daily production * 365 (P) / annual mean of ( areal dislodgement / proportional dislodgement ) (B), note that production is  reported in terms of g C but based on the methods carbon was not measured so this is likely a typo"
Gilson et al. 2023,10.1002/ece3.10146,"Ballywhoriskey Pier and Melmore Head, County Donegal, Ireland",Laminaria digitata,Forest,2.826646089,"Figure 2e, 3c, e","calculated as mean daily production * 365 (P) / annual mean of ( areal dislodgement / proportional dislodgement ) (B), note that production is  reported in terms of g C but based on the methods carbon was not measured so this is likely a typo"
Gilson et al. 2023,10.1002/ece3.10146,"Ballywhoriskey Pier and Melmore Head, County Donegal, Ireland",Saccharina latissima,Forest,4.991763984,"Figure 2f, 3d, f","calculated as mean daily production * 365 (P) / annual mean of ( areal dislodgement / proportional dislodgement ) (B), note that production is  reported in terms of g C but based on the methods carbon was not measured so this is likely a typo"
Nardelli et al. 2024,10.1111/jpy.13408,"Coal Point, Bruny Island, Tasmania",Lessonia corrugata,Forest,1.811697955,"Figure 4b, 6a, Table 3",calculated as annual mean g C blade^−1 d^−1 * 365 d y^−1 * annual mean blades m^−2 (P) / annual mean g C m^−2 (B)
Nardelli et al. 2024,10.1111/jpy.13408,"South Arm, Derwent Estuary, Tasmania",Lessonia corrugata,Forest,1.844296262,"Figure 4b, 6a, Table 3",calculated as annual mean g C blade^−1 d^−1 * 365 d y^−1 * annual mean blades m^−2 (P) / annual mean g C m^−2 (B)
Nardelli et al. 2024,10.1111/jpy.13408,"Taroona, Derwent Estuary, Tasmania",Lessonia corrugata,Forest,3.391660595,"Figure 4b, 6a, Table 3",calculated as annual mean g C blade^−1 d^−1 * 365 d y^−1 * annual mean blades m^−2 (P) / annual mean g C m^−2 (B)
Salland et al. 2024,10.1093/aob/mcad181,"Mount Batten, Plymouth Sound, Devon, United Kingdom",Saccorhiza polyschides,Forest,4.204057971,Figure 7,"calculated as maximum / mean  biomass, intertidal and subtidal were averaged per month beforehand"
Salland et al. 2024,10.1093/aob/mcad181,"Bovisand, Plymouth Sound, Devon, United Kingdom",Saccorhiza polyschides,Forest,3.720222417,Figure 7,"calculated as maximum / mean  biomass, intertidal and subtidal were averaged per month beforehand"
Salland et al. 2024,10.1093/aob/mcad181,"Heybrook, Plymouth Sound, Devon, United Kingdom",Saccorhiza polyschides,Forest,4.624015128,Figure 7,"calculated as maximum / mean  biomass, intertidal and subtidal were averaged per month beforehand"
Davis et al. 2025,10.1111/aec.70120,"Coffs Harbour, New South Wales, Australia",Ecklonia radiata,Thallus,1.089341085,"Table 1, 3",calculated as annual mean g wet mass plant^−1 d^−1 * 365 d y^−1 (P) / mean g wet mass plant^−1 (B)
Davis et al. 2025,10.1111/aec.70120,"Port Stephens, New South Wales, Australia",Ecklonia radiata,Thallus,1.734099617,"Table 1, 3",calculated as annual mean g wet mass plant^−1 d^−1 * 365 d y^−1 (P) / mean g wet mass plant^−1 (B)
Davis et al. 2025,10.1111/aec.70120,"Batemans Bay, New South Wales, Australia",Ecklonia radiata,Thallus,1.487037037,"Table 1, 3",calculated as annual mean g wet mass plant^−1 d^−1 * 365 d y^−1 (P) / mean g wet mass plant^−1 (B)
Davis et al. 2025,10.1111/aec.70120,"Eden, New South Wales, Australia",Ecklonia radiata,Thallus,1.038415673,"Table 1, 3",calculated as annual mean g wet mass plant^−1 d^−1 * 365 d y^−1 (P) / mean g wet mass plant^−1 (B)
Franco et al. 2025,10.1038/s41598-025-09361-9,Northern Portugal,Laminaria hyperborea,Forest,0.671417625,Data,calculated as daily production * 365 d y^−1 / biomass
Franco et al. 2025,10.1038/s41598-025-09361-9,Northern Portugal,Saccorhiza polyschides,Forest,1.174241722,Data,calculated as daily production * 365 d y^−1 / biomass
